"Vuosineljännes";"Postinumero";"Huoneluku";"Lukumäärä";"Neliövuokra (eur/m2)"
"2015Q1";"00200 Lauttasaari   (Helsinki )";"Kaksiot";225;13.89
"2015Q1";"00200 Lauttasaari   (Helsinki )";"Kolmiot+";45;14.24
"2015Q1";"00210 Vattuniemi   (Helsinki )";"Yksiöt";50;21.15
"2015Q1";"00210 Vattuniemi   (Helsinki )";"Kaksiot";41;16.11
"2015Q1";"00210 Vattuniemi   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00220 Jätkäsaari   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00220 Jätkäsaari   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00220 Jätkäsaari   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00240 Länsi-Pasila   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00240 Länsi-Pasila   (Helsinki )";"Kaksiot";23;10.99
"2015Q1";"00240 Länsi-Pasila   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00250 Taka-Töölö   (Helsinki )";"Yksiöt";365;25.27
"2015Q1";"00250 Taka-Töölö   (Helsinki )";"Kaksiot";206;16.45
"2015Q1";"00250 Taka-Töölö   (Helsinki )";"Kolmiot+";26;13.40
"2015Q1";"00260 Keski-Töölö   (Helsinki )";"Yksiöt";123;24.54
"2015Q1";"00260 Keski-Töölö   (Helsinki )";"Kaksiot";77;19.06
"2015Q1";"00260 Keski-Töölö   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00270 Pohjois-Meilahti   (Helsinki )";"Yksiöt";193;25.44
"2015Q1";"00270 Pohjois-Meilahti   (Helsinki )";"Kaksiot";136;14.67
"2015Q1";"00270 Pohjois-Meilahti   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00280 Ruskeasuo   (Helsinki )";"Yksiöt";36;23.41
"2015Q1";"00280 Ruskeasuo   (Helsinki )";"Kaksiot";37;13.77
"2015Q1";"00280 Ruskeasuo   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00300 Pikku Huopalahti   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00300 Pikku Huopalahti   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00300 Pikku Huopalahti   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00310 Kivihaka   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00310 Kivihaka   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00310 Kivihaka   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00320 Etelä-Haaga   (Helsinki )";"Yksiöt";317;23.34
"2015Q1";"00320 Etelä-Haaga   (Helsinki )";"Kaksiot";133;14.39
"2015Q1";"00320 Etelä-Haaga   (Helsinki )";"Kolmiot+";25;11.34
"2015Q1";"00330 Munkkiniemi   (Helsinki )";"Yksiöt";130;23.42
"2015Q1";"00330 Munkkiniemi   (Helsinki )";"Kaksiot";85;15.14
"2015Q1";"00330 Munkkiniemi   (Helsinki )";"Kolmiot+";42;15.45
"2015Q1";"00350 Munkkivuori-Niemenmäki   (Helsinki )";"Yksiöt";277;25.26
"2015Q1";"00350 Munkkivuori-Niemenmäki   (Helsinki )";"Kaksiot";155;17.46
"2015Q1";"00350 Munkkivuori-Niemenmäki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00360 Pajamäki   (Helsinki )";"Yksiöt";53;23.59
"2015Q1";"00360 Pajamäki   (Helsinki )";"Kaksiot";27;16.93
"2015Q1";"00360 Pajamäki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00370 Reimarla   (Helsinki )";"Yksiöt";42;21.79
"2015Q1";"00370 Reimarla   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00370 Reimarla   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00380 Pitäjänmäen teollisuusalue   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00380 Pitäjänmäen teollisuusalue   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00380 Pitäjänmäen teollisuusalue   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00390 Konala   (Helsinki )";"Yksiöt";83;20.80
"2015Q1";"00390 Konala   (Helsinki )";"Kaksiot";110;16.90
"2015Q1";"00390 Konala   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00400 Pohjois-Haaga   (Helsinki )";"Yksiöt";149;24.37
"2015Q1";"00400 Pohjois-Haaga   (Helsinki )";"Kaksiot";78;13.41
"2015Q1";"00400 Pohjois-Haaga   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00410 Malminkartano   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00410 Malminkartano   (Helsinki )";"Kaksiot";24;12.67
"2015Q1";"00410 Malminkartano   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00420 Kannelmäki   (Helsinki )";"Yksiöt";214;20.49
"2015Q1";"00420 Kannelmäki   (Helsinki )";"Kaksiot";207;15.14
"2015Q1";"00420 Kannelmäki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00430 Maununneva   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00430 Maununneva   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00430 Maununneva   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00440 Lassila   (Helsinki )";"Yksiöt";58;19.78
"2015Q1";"00440 Lassila   (Helsinki )";"Kaksiot";69;16.12
"2015Q1";"00440 Lassila   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00500 Sörnäinen   (Helsinki )";"Yksiöt";851;23.84
"2015Q1";"00500 Sörnäinen   (Helsinki )";"Kaksiot";322;17.95
"2015Q1";"00500 Sörnäinen   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00510 Etu-Vallila - Alppila   (Helsinki )";"Yksiöt";443;22.33
"2015Q1";"00510 Etu-Vallila - Alppila   (Helsinki )";"Kaksiot";118;13.22
"2015Q1";"00510 Etu-Vallila - Alppila   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00520 Itä-Pasila   (Helsinki )";"Yksiöt";122;22.30
"2015Q1";"00520 Itä-Pasila   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00520 Itä-Pasila   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00530 Kallio   (Helsinki )";"Yksiöt";759;22.86
"2015Q1";"00530 Kallio   (Helsinki )";"Kaksiot";310;15.59
"2015Q1";"00530 Kallio   (Helsinki )";"Kolmiot+";98;14.89
"2015Q1";"00550 Vallila   (Helsinki )";"Yksiöt";187;21.14
"2015Q1";"00550 Vallila   (Helsinki )";"Kaksiot";126;14.94
"2015Q1";"00550 Vallila   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00560 Toukola-Vanhakaupunki   (Helsinki )";"Yksiöt";61;21.55
"2015Q1";"00560 Toukola-Vanhakaupunki   (Helsinki )";"Kaksiot";128;19.51
"2015Q1";"00560 Toukola-Vanhakaupunki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00570 Kulosaari   (Helsinki )";"Yksiöt";62;21.33
"2015Q1";"00570 Kulosaari   (Helsinki )";"Kaksiot";46;16.51
"2015Q1";"00570 Kulosaari   (Helsinki )";"Kolmiot+";20;14.93
"2015Q1";"00580 Verkkosaari   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00580 Verkkosaari   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00580 Verkkosaari   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00600 Koskela-Helsinki   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00600 Koskela-Helsinki   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00600 Koskela-Helsinki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00610 Käpylä   (Helsinki )";"Yksiöt";53;19.47
"2015Q1";"00610 Käpylä   (Helsinki )";"Kaksiot";57;13.74
"2015Q1";"00610 Käpylä   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )";"Kaksiot";31;12.57
"2015Q1";"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00630 Maunula-Suursuo   (Helsinki )";"Yksiöt";68;20.44
"2015Q1";"00630 Maunula-Suursuo   (Helsinki )";"Kaksiot";41;15.48
"2015Q1";"00630 Maunula-Suursuo   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00640 Oulunkylä-Patola   (Helsinki )";"Yksiöt";81;19.74
"2015Q1";"00640 Oulunkylä-Patola   (Helsinki )";"Kaksiot";89;14.65
"2015Q1";"00640 Oulunkylä-Patola   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00650 Veräjämäki   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00650 Veräjämäki   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00650 Veräjämäki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00700 Malmi   (Helsinki )";"Yksiöt";69;19.84
"2015Q1";"00700 Malmi   (Helsinki )";"Kaksiot";107;16.03
"2015Q1";"00700 Malmi   (Helsinki )";"Kolmiot+";37;13.53
"2015Q1";"00710 Pihlajamäki   (Helsinki )";"Yksiöt";120;17.66
"2015Q1";"00710 Pihlajamäki   (Helsinki )";"Kaksiot";107;14.04
"2015Q1";"00710 Pihlajamäki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00720 Pukinmäki-Savela   (Helsinki )";"Yksiöt";54;19.22
"2015Q1";"00720 Pukinmäki-Savela   (Helsinki )";"Kaksiot";48;14.08
"2015Q1";"00720 Pukinmäki-Savela   (Helsinki )";"Kolmiot+";36;15.55
"2015Q1";"00730 Tapanila   (Helsinki )";"Yksiöt";31;18.89
"2015Q1";"00730 Tapanila   (Helsinki )";"Kaksiot";49;15.21
"2015Q1";"00730 Tapanila   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00740 Siltamäki   (Helsinki )";"Yksiöt";33;16.99
"2015Q1";"00740 Siltamäki   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00740 Siltamäki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00750 Puistola   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00750 Puistola   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00750 Puistola   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00760 Suurmetsä   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00760 Suurmetsä   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00760 Suurmetsä   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00770 Jakomäki - Alppikylä   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00770 Jakomäki - Alppikylä   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00770 Jakomäki - Alppikylä   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00780 Tapaninvainio   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00780 Tapaninvainio   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00780 Tapaninvainio   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00790 Viikki   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00790 Viikki   (Helsinki )";"Kaksiot";32;13.59
"2015Q1";"00790 Viikki   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00800 Länsi-Herttoniemi   (Helsinki )";"Yksiöt";71;21.42
"2015Q1";"00800 Länsi-Herttoniemi   (Helsinki )";"Kaksiot";40;13.58
"2015Q1";"00800 Länsi-Herttoniemi   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00810 Herttoniemi   (Helsinki )";"Yksiöt";31;20.12
"2015Q1";"00810 Herttoniemi   (Helsinki )";"Kaksiot";54;14.64
"2015Q1";"00810 Herttoniemi   (Helsinki )";"Kolmiot+";28;15.10
"2015Q1";"00820 Roihuvuori   (Helsinki )";"Yksiöt";113;22.50
"2015Q1";"00820 Roihuvuori   (Helsinki )";"Kaksiot";103;15.49
"2015Q1";"00820 Roihuvuori   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00840 Laajasalo   (Helsinki )";"Yksiöt";91;19.91
"2015Q1";"00840 Laajasalo   (Helsinki )";"Kaksiot";55;14.51
"2015Q1";"00840 Laajasalo   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00870 Etelä-Laajasalo   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00870 Etelä-Laajasalo   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00870 Etelä-Laajasalo   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00900 Puotinharju   (Helsinki )";"Yksiöt";50;20.32
"2015Q1";"00900 Puotinharju   (Helsinki )";"Kaksiot";30;14.02
"2015Q1";"00900 Puotinharju   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00910 Puotila   (Helsinki )";"Yksiöt";131;20.66
"2015Q1";"00910 Puotila   (Helsinki )";"Kaksiot";152;17.14
"2015Q1";"00910 Puotila   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00920 Myllypuro   (Helsinki )";"Yksiöt";41;20.65
"2015Q1";"00920 Myllypuro   (Helsinki )";"Kaksiot";104;15.02
"2015Q1";"00920 Myllypuro   (Helsinki )";"Kolmiot+";32;14.14
"2015Q1";"00930 Itäkeskus-Marjaniemi   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00930 Itäkeskus-Marjaniemi   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00930 Itäkeskus-Marjaniemi   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00940 Kontula - Vesala   (Helsinki )";"Yksiöt";189;20.24
"2015Q1";"00940 Kontula - Vesala   (Helsinki )";"Kaksiot";257;14.95
"2015Q1";"00940 Kontula - Vesala   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00950 Vartioharju   (Helsinki )";"Yksiöt";.;.
"2015Q1";"00950 Vartioharju   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00950 Vartioharju   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00960 Pohjois-Vuosaari   (Helsinki )";"Yksiöt";83;18.12
"2015Q1";"00960 Pohjois-Vuosaari   (Helsinki )";"Kaksiot";102;14.55
"2015Q1";"00960 Pohjois-Vuosaari   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"00970 Mellunmäki   (Helsinki )";"Yksiöt";58;18.58
"2015Q1";"00970 Mellunmäki   (Helsinki )";"Kaksiot";68;13.29
"2015Q1";"00970 Mellunmäki   (Helsinki )";"Kolmiot+";26;13.23
"2015Q1";"00980 Etelä-Vuosaari   (Helsinki )";"Yksiöt";52;19.06
"2015Q1";"00980 Etelä-Vuosaari   (Helsinki )";"Kaksiot";.;.
"2015Q1";"00980 Etelä-Vuosaari   (Helsinki )";"Kolmiot+";90;15.90
"2015Q1";"00990 Aurinkolahti   (Helsinki )";"Yksiöt";38;22.55
"2015Q1";"00990 Aurinkolahti   (Helsinki )";"Kaksiot";113;19.74
"2015Q1";"00990 Aurinkolahti   (Helsinki )";"Kolmiot+";.;.
"2015Q1";"01150 Söderkulla   (Sipoo )";"Yksiöt";.;.
"2015Q1";"01150 Söderkulla   (Sipoo )";"Kaksiot";.;.
"2015Q1";"01150 Söderkulla   (Sipoo )";"Kolmiot+";.;.
"2015Q1";"01200 Hakunila   (Vantaa )";"Yksiöt";74;18.53
"2015Q1";"01200 Hakunila   (Vantaa )";"Kaksiot";136;14.29
"2015Q1";"01200 Hakunila   (Vantaa )";"Kolmiot+";110;13.44
"2015Q1";"01230 Vaarala   (Vantaa )";"Yksiöt";.;.
"2015Q1";"01230 Vaarala   (Vantaa )";"Kaksiot";.;.
"2015Q1";"01230 Vaarala   (Vantaa )";"Kolmiot+";.;.
"2015Q1";"01280 Länsimäki   (Vantaa )";"Yksiöt";77;18.12
"2015Q1";"01280 Länsimäki   (Vantaa )";"Kaksiot";.;.
"2015Q1";"01280 Länsimäki   (Vantaa )";"Kolmiot+";.;.
"2015Q1";"01300 Tikkurila   (Vantaa )";"Yksiöt";167;19.15
"2015Q1";"01300 Tikkurila   (Vantaa )";"Kaksiot";209;15.29
"2015Q1";"01300 Tikkurila   (Vantaa )";"Kolmiot+";63;15.28
"2015Q1";"01340 Leinelä   (Vantaa )";"Yksiöt";.;.
"2015Q1";"01340 Leinelä   (Vantaa )";"Kaksiot";.;.
"2015Q1";"01340 Leinelä   (Vantaa )";"Kolmiot+";.;.
"2015Q1";"01350 Hiekkaharju   (Vantaa )";"Yksiöt";.;.
"2015Q1";"01350 Hiekkaharju   (Vantaa )";"Kaksiot";.;.
"2015Q1";"01350 Hiekkaharju   (Vantaa )";"Kolmiot+";.;.
"2015Q1";"01360 Koivukylä-Havukoski   (Vantaa )";"Yksiöt";161;17.93
"2015Q1";"01360 Koivukylä-Havukoski   (Vantaa )";"Kaksiot";.;.
"2015Q1";"01360 Koivukylä-Havukoski   (Vantaa )";"Kolmiot+";.;.
"2015Q1";"01400 Rekola   (Vantaa )";"Yksiöt";.;.
"2015Q1";"01400 Rekola   (Vantaa )";"Kaksiot";.;.
"2015Q1";"01400 Rekola   (Vantaa )";"Kolmiot+";.;.
"2015Q1";"01450 Korso   (Vantaa )";"Yksiöt";135;16.59
"2015Q1";"01450 Korso   (Vantaa )";"Kaksiot";.;.
"2015Q1";"01450 Korso   (Vantaa )";"Kolmiot+";.;.
"2015Q1";"01480 Mikkola   (Vantaa )";"Yksiöt";57;17.30
"2015Q1";"01480 Mikkola   (Vantaa )";"Kaksiot";30;14.00
"2015Q1";"01480 Mikkola   (Vantaa )";"Kolmiot+";.;.
"2015Q1";"01510 Kirkonkylä-Veromäki   (Vantaa )";"Yksiöt";.;.
"2015Q1";"01510 Kirkonkylä-Veromäki   (Vantaa )";"Kaksiot";.;.
"2015Q1";"01510 Kirkonkylä-Veromäki   (Vantaa )";"Kolmiot+";.;.
"2015Q1";"01520 Tammisto   (Vantaa )";"Yksiöt";.;.
"2015Q1";"01520 Tammisto   (Vantaa )";"Kaksiot";47;17.00
"2015Q1";"01520 Tammisto   (Vantaa )";"Kolmiot+";.;.
"2015Q1";"01600 Myyrmäki   (Vantaa )";"Yksiöt";216;19.23
"2015Q1";"01600 Myyrmäki   (Vantaa )";"Kaksiot";241;15.95
"2015Q1";"01600 Myyrmäki   (Vantaa )";"Kolmiot+";.;.
"2015Q1";"01610 Kaivoksela   (Vantaa )";"Yksiöt";48;19.52
"2015Q1";"01610 Kaivoksela   (Vantaa )";"Kaksiot";148;17.35
"2015Q1";"01610 Kaivoksela   (Vantaa )";"Kolmiot+";.;.
"2015Q1";"01620 Martinlaakso   (Vantaa )";"Yksiöt";174;19.43
"2015Q1";"01620 Martinlaakso   (Vantaa )";"Kaksiot";.;.
"2015Q1";"01620 Martinlaakso   (Vantaa )";"Kolmiot+";.;.
"2015Q1";"01640 Hämevaara   (Vantaa )";"Yksiöt";.;.
"2015Q1";"01640 Hämevaara   (Vantaa )";"Kaksiot";.;.
"2015Q1";"01640 Hämevaara   (Vantaa )";"Kolmiot+";.;.
"2015Q1";"01650 Vapaala   (Vantaa )";"Yksiöt";29;17.96
"2015Q1";"01650 Vapaala   (Vantaa )";"Kaksiot";21;13.10
"2015Q1";"01650 Vapaala   (Vantaa )";"Kolmiot+";.;.
"2015Q1";"01700 Kivistö   (Vantaa )";"Yksiöt";.;.
"2015Q1";"01700 Kivistö   (Vantaa )";"Kaksiot";.;.
"2015Q1";"01700 Kivistö   (Vantaa )";"Kolmiot+";.;.
"2015Q1";"01710 Pähkinärinne   (Vantaa )";"Yksiöt";41;18.32
"2015Q1";"01710 Pähkinärinne   (Vantaa )";"Kaksiot";58;14.94
"2015Q1";"01710 Pähkinärinne   (Vantaa )";"Kolmiot+";.;.
"2015Q1";"01800 Klaukkala Keskus   (Nurmijärvi )";"Yksiöt";24;15.91
"2015Q1";"01800 Klaukkala Keskus   (Nurmijärvi )";"Kaksiot";21;12.05
"2015Q1";"01800 Klaukkala Keskus   (Nurmijärvi )";"Kolmiot+";.;.
"2015Q1";"01900 Nurmijärvi Keskus   (Nurmijärvi )";"Yksiöt";25;15.21
"2015Q1";"01900 Nurmijärvi Keskus   (Nurmijärvi )";"Kaksiot";51;11.95
"2015Q1";"01900 Nurmijärvi Keskus   (Nurmijärvi )";"Kolmiot+";.;.
"2015Q1";"02100 Tapiola   (Espoo )";"Yksiöt";59;22.40
"2015Q1";"02100 Tapiola   (Espoo )";"Kaksiot";78;19.51
"2015Q1";"02100 Tapiola   (Espoo )";"Kolmiot+";23;16.04
"2015Q1";"02110 Otsolahti   (Espoo )";"Yksiöt";25;22.20
"2015Q1";"02110 Otsolahti   (Espoo )";"Kaksiot";24;12.49
"2015Q1";"02110 Otsolahti   (Espoo )";"Kolmiot+";.;.
"2015Q1";"02120 Länsikorkee-Suvikumpu   (Espoo )";"Yksiöt";53;22.60
"2015Q1";"02120 Länsikorkee-Suvikumpu   (Espoo )";"Kaksiot";46;14.35
"2015Q1";"02120 Länsikorkee-Suvikumpu   (Espoo )";"Kolmiot+";.;.
"2015Q1";"02130 Pohjois-Tapiola   (Espoo )";"Yksiöt";.;.
"2015Q1";"02130 Pohjois-Tapiola   (Espoo )";"Kaksiot";56;11.79
"2015Q1";"02130 Pohjois-Tapiola   (Espoo )";"Kolmiot+";.;.
"2015Q1";"02150 Otaniemi   (Espoo )";"Yksiöt";.;.
"2015Q1";"02150 Otaniemi   (Espoo )";"Kaksiot";.;.
"2015Q1";"02150 Otaniemi   (Espoo )";"Kolmiot+";.;.
"2015Q1";"02170 Haukilahti   (Espoo )";"Yksiöt";27;21.21
"2015Q1";"02170 Haukilahti   (Espoo )";"Kaksiot";21;13.66
"2015Q1";"02170 Haukilahti   (Espoo )";"Kolmiot+";.;.
"2015Q1";"02200 Niittykumpu   (Espoo )";"Yksiöt";29;21.29
"2015Q1";"02200 Niittykumpu   (Espoo )";"Kaksiot";71;15.25
"2015Q1";"02200 Niittykumpu   (Espoo )";"Kolmiot+";.;.
"2015Q1";"02210 Olari   (Espoo )";"Yksiöt";57;18.71
"2015Q1";"02210 Olari   (Espoo )";"Kaksiot";68;13.52
"2015Q1";"02210 Olari   (Espoo )";"Kolmiot+";26;12.29
"2015Q1";"02230 Matinkylä   (Espoo )";"Yksiöt";186;20.29
"2015Q1";"02230 Matinkylä   (Espoo )";"Kaksiot";273;15.62
"2015Q1";"02230 Matinkylä   (Espoo )";"Kolmiot+";108;15.35
"2015Q1";"02260 Kaitaa   (Espoo )";"Yksiöt";.;.
"2015Q1";"02260 Kaitaa   (Espoo )";"Kaksiot";.;.
"2015Q1";"02260 Kaitaa   (Espoo )";"Kolmiot+";.;.
"2015Q1";"02320 Espoonlahti   (Espoo )";"Yksiöt";113;17.98
"2015Q1";"02320 Espoonlahti   (Espoo )";"Kaksiot";202;14.32
"2015Q1";"02320 Espoonlahti   (Espoo )";"Kolmiot+";.;.
"2015Q1";"02330 Saunalahti-Kattilalaakso   (Espoo )";"Yksiöt";.;.
"2015Q1";"02330 Saunalahti-Kattilalaakso   (Espoo )";"Kaksiot";.;.
"2015Q1";"02330 Saunalahti-Kattilalaakso   (Espoo )";"Kolmiot+";.;.
"2015Q1";"02360 Soukka   (Espoo )";"Yksiöt";104;18.88
"2015Q1";"02360 Soukka   (Espoo )";"Kaksiot";.;.
"2015Q1";"02360 Soukka   (Espoo )";"Kolmiot+";.;.
"2015Q1";"02400 Kirkkonummi Keskus   (Kirkkonummi )";"Yksiöt";51;17.35
"2015Q1";"02400 Kirkkonummi Keskus   (Kirkkonummi )";"Kaksiot";89;12.56
"2015Q1";"02400 Kirkkonummi Keskus   (Kirkkonummi )";"Kolmiot+";.;.
"2015Q1";"02410 Gesterby   (Kirkkonummi )";"Yksiöt";37;15.82
"2015Q1";"02410 Gesterby   (Kirkkonummi )";"Kaksiot";59;12.30
"2015Q1";"02410 Gesterby   (Kirkkonummi )";"Kolmiot+";.;.
"2015Q1";"02430 Masala   (Kirkkonummi )";"Yksiöt";.;.
"2015Q1";"02430 Masala   (Kirkkonummi )";"Kaksiot";.;.
"2015Q1";"02430 Masala   (Kirkkonummi )";"Kolmiot+";.;.
"2015Q1";"02600 Etelä-Leppävaara   (Espoo )";"Yksiöt";68;20.97
"2015Q1";"02600 Etelä-Leppävaara   (Espoo )";"Kaksiot";115;18.26
"2015Q1";"02600 Etelä-Leppävaara   (Espoo )";"Kolmiot+";.;.
"2015Q1";"02610 Kilo   (Espoo )";"Yksiöt";.;.
"2015Q1";"02610 Kilo   (Espoo )";"Kaksiot";.;.
"2015Q1";"02610 Kilo   (Espoo )";"Kolmiot+";.;.
"2015Q1";"02620 Karakallio   (Espoo )";"Yksiöt";32;20.42
"2015Q1";"02620 Karakallio   (Espoo )";"Kaksiot";52;15.07
"2015Q1";"02620 Karakallio   (Espoo )";"Kolmiot+";.;.
"2015Q1";"02650 Pohjois-Leppävaara   (Espoo )";"Yksiöt";68;20.18
"2015Q1";"02650 Pohjois-Leppävaara   (Espoo )";"Kaksiot";91;14.21
"2015Q1";"02650 Pohjois-Leppävaara   (Espoo )";"Kolmiot+";25;14.29
"2015Q1";"02660 Lintuvaara   (Espoo )";"Yksiöt";.;.
"2015Q1";"02660 Lintuvaara   (Espoo )";"Kaksiot";.;.
"2015Q1";"02660 Lintuvaara   (Espoo )";"Kolmiot+";.;.
